# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12715
#@/user_id	yongli-macbookpro
a 	啊	c=86 d=2.9125 t=12715
zhu 	朱	c=1 d=0.955997 t=12715
zhu 	煮	c=1 d=1.49645e-07 t=12715
zhu 	祝	c=1 d=1 t=10364
zhu ding 	註定	c=1 d=0.882497 t=12715
zhu jiao 	主叫	c=1 d=2.67226e-05 t=12715
zhu ke 	主課	c=1 d=3.68067e-07 t=12715
zhu shi 	註釋	c=1 d=0.154896 t=12715
zhu ti 	主題	c=0 d=0.0447088 t=12715
zhu tian jie 	朱天杰	c=3 d=2.39557 t=12715
zhu wan 	豬灣	c=0 d=0.032628 t=12715
zhu wan ke 	豬灣可	c=1 d=0.327915 t=12715
zhu wo 	主臥	c=1 d=3.89951e-10 t=12715
zhu yao 	主要	c=1 d=0.000163287 t=12715
zhu yao shi 	主要是	c=1 d=4.59906e-10 t=12715
zhu yi 	注意	c=11 d=0.25325 t=12715
zhu yi 	逐一	c=1 d=7.30037e-05 t=12715
zhu yi li 	注意力	c=1 d=0.458406 t=12715
zhu zai 	住在	c=1 d=1.93677e-12 t=12715
zhu zhi 	住址	c=3 d=1.18122 t=12715
zhua zhu 	抓住	c=1 d=1.7649e-07 t=12715
zhuan dao 	轉到	c=1 d=0.494109 t=12715
zhuan er 	轉而	c=1 d=0.640825 t=12715
zhuan fa 	轉發	c=2 d=0.358796 t=12715
zhuan huan 	轉換	c=2 d=2.74747e-08 t=12715
zhuan le 	賺了	c=1 d=3.44014e-06 t=12715
zhuan ye 	專業	c=1 d=1.91685e-08 t=12715
zhuan yi 	轉移	c=1 d=0.00408677 t=12715
zhuang 	壯	c=1 d=3.44963e-09 t=12715
zhuang 	裝	c=2 d=0.000286118 t=12715
zhuang dao 	裝到	c=2 d=0.000315662 t=12715
zhuang ge 	裝個	c=1 d=2.45618e-13 t=12715
zhuang hao 	裝好	c=1 d=3.01297e-05 t=12715
zhuang tai 	狀態	c=3 d=0.0049667 t=12715
zhuang yi ge 	裝一個	c=1 d=2.62113e-13 t=12715
zhuang yi xia 	裝一下	c=1 d=2.86798e-13 t=12715
zhuang yu 	狀語	c=1 d=0.00951391 t=12715
zhun bei 	準備	c=23 d=0.814414 t=12715
zhun que 	準確	c=1 d=4.52904e-06 t=12715
zi 	子	c=1 d=0.207008 t=12715
zi 	字	c=3 d=0.97531 t=12715
zi 	漬	c=1 d=2.52969e-07 t=12715
zi dai 	自帶	c=1 d=0.726149 t=12715
zi dian 	字典	c=4 d=0.951161 t=12715
zi dian wen jian 	字典文件	c=1 d=0.349938 t=12715
zi ding 	自定	c=1 d=0.120032 t=12715
zi ding yi 	自定義	c=7 d=0.831707 t=12715
zi dong 	自動	c=2 d=7.31927e-06 t=12715
zi dong hua 	自動化	c=4 d=0.429665 t=12715
zi dong shou huo ji 	自動售貨機	c=1 d=1.91652e-06 t=12715
zi fu 	字符	c=10 d=0.613867 t=12715
zi fu chuan 	字符串	c=5 d=4.13177 t=9150
zi fu ji 	字符集	c=1 d=0.00209124 t=12715
zi ji 	自己	c=30 d=1.68996 t=12715
zi liao 	資料	c=4 d=0.357007 t=12715
zi mu 	字母	c=5 d=0.755783 t=12715
zi ran 	自然	c=2 d=0.205975 t=12715
zi ran shu 	自然數	c=4 d=3.60813 t=10078
zi se 	紫色	c=1 d=0.000889368 t=12715
zi shen 	自身	c=5 d=0.500374 t=12715
zi wen 	子文	c=3 d=1.69549 t=12696
zi xing che 	自行車	c=1 d=1.95019e-05 t=12715
zi xun 	諮詢	c=3 d=0.100259 t=12715
zong 	總	c=2 d=1.03883e-07 t=12715
zong gong 	總共	c=1 d=1.60136e-10 t=12715
zong hui 	總會	c=1 d=7.61928e-08 t=12715
zong jie 	總結	c=3 d=0.379087 t=12715
zong shi 	總是	c=1 d=1 t=11573
zong xu yao 	總需要	c=1 d=1 t=9501
zong yao 	總要	c=5 d=9.07488e-06 t=12715
zong zhi 	總之	c=1 d=0.2334 t=12715
zou 	走	c=4 d=0.763379 t=12715
zou bian 	走遍	c=1 d=0.0200405 t=12715
zou de 	走的	c=1 d=1 t=10682
zou lu 	走路	c=1 d=1 t=9445
zu 	租	c=12 d=0.00437421 t=12715
zu chu qu 	租出去	c=1 d=1 t=11411
zu fang 	租房	c=3 d=1.0138e-06 t=12715
zu he 	組合	c=2 d=0.565525 t=12715
zu yi 	足以	c=0 d=0.000559994 t=12715
zu zhi 	組織	c=1 d=1 t=9096
zui 	最	c=7 d=0.477114 t=12715
zui bang 	最棒	c=1 d=0.246597 t=12715
zui chang 	最長	c=1 d=1 t=12167
zui chu 	最初	c=3 d=0.225069 t=12715
zui da 	最大	c=5 d=0.349937 t=12715
zui di 	最低	c=0 d=1.02181e-11 t=12715
zui di xi 	最低系	c=1 d=5.07048e-11 t=12715
zui di xia 	最低下	c=1 d=5.19884e-11 t=12715
zui hao 	最好	c=6 d=0.33369 t=12715
zui hou 	最後	c=9 d=0.0639741 t=12715
zui ji ben 	最基本	c=2 d=7.56041e-05 t=12715
zui jin 	最近	c=6 d=0.172045 t=12715
zui le 	醉了	c=2 d=0.000113354 t=12715
zui wai ceng 	最外層	c=1 d=2.47319e-06 t=12715
zui wan 	最晚	c=2 d=6.70548e-05 t=12715
zui xiao 	最小	c=1 d=1 t=9596
zui yuan 	最遠	c=1 d=4.63408e-11 t=12715
zui zao 	最早	c=1 d=1 t=12194
zui zhong 	最終	c=6 d=1.13235 t=12715
zui zhong yao 	最重要	c=1 d=3.59909e-08 t=12715
zui zhu yao 	最主要	c=1 d=0.58567 t=12715
zui zui 	最最	c=1 d=7.82971e-05 t=12715
zui zui 	醉醉	c=1 d=1.73952e-13 t=12715
zuo 	做	c=3 d=0.580352 t=12715
zuo 	坐	c=6 d=0.0724405 t=12715
zuo bian 	左邊	c=4 d=0.0416346 t=12715
zuo ce 	左側	c=3 d=2.03151 t=10703
zuo cheng 	做成	c=1 d=5.38219e-07 t=12715
zuo chu 	作出	c=2 d=0.292292 t=12715
zuo dao 	坐到	c=1 d=6.51174e-13 t=12715
zuo de 	做的	c=4 d=0.239309 t=12715
zuo ge 	做個	c=1 d=0.0925506 t=12715
zuo hui 	做回	c=1 d=0.891366 t=12715
zuo le 	做了	c=3 d=0.752014 t=12715
zuo sha 	做啥	c=1 d=0.207008 t=12715
zuo sha 	坐啥	c=1 d=0.205975 t=12715
zuo tian 	昨天	c=9 d=0.243866 t=12715
zuo wei 	作爲	c=2 d=0.00848038 t=12715
zuo wei 	座位	c=5 d=0.00843809 t=12715
zuo xia jiao 	左下角	c=1 d=2.20985e-05 t=12715
zuo yong 	作用	c=1 d=0.0117747 t=12715
zuo yong yu 	作用域	c=3 d=0.439794 t=12715
zuo yong yu 	作用於	c=1 d=0.117655 t=12715
zuo you 	左右	c=3 d=0.00644146 t=12715
zuo zhe 	作者	c=7 d=0.0175118 t=12715
zuo zuo 	做做	c=2 d=1.75578 t=11322
